Instance                  W    H  MaxH Blocks    Moves     c     time
../v3/data/data4-4-22.dat   4  4    6  16           9       2     0
../v3/data/data4-4-23.dat   4  4    6  16          10       2     0
../v3/data/data4-4-24.dat   4  4    6  16           9       2     0
../v3/data/data4-4-25.dat   4  4    6  16          11       2     0
../v3/data/data4-4-26.dat   4  4    6  16           9       2     0
../v3/data/data4-4-27.dat   4  4    6  16          12       2     0
../v3/data/data4-4-28.dat   4  4    6  16           9       2     0
../v3/data/data4-4-29.dat   4  4    6  16          11       2     0
../v3/data/data4-4-30.dat   4  4    6  16          11       2     0
../v3/data/data4-4-31.dat   4  4    6  16           9       2     0
../v3/data/data4-4-32.dat   4  4    6  16           8       2     0
../v3/data/data4-4-33.dat   4  4    6  16          13       2     0
../v3/data/data4-4-34.dat   4  4    6  16           9       2     0
../v3/data/data4-4-35.dat   4  4    6  16          13       2     0
../v3/data/data4-4-36.dat   4  4    6  16          13       2     0
../v3/data/data4-4-37.dat   4  4    6  16           9       2     0
../v3/data/data4-4-38.dat   4  4    6  16          13       2 0.004
../v3/data/data4-4-39.dat   4  4    6  16          12       2     0
../v3/data/data4-4-40.dat   4  4    6  16          14       2     0
../v3/data/data4-5-1.dat   5   4   6  20          16       2     0
../v3/data/data4-5-2.dat   5   4   6  20          10       2     0
../v3/data/data4-5-3.dat   5   4   6  20          13       2     0
../v3/data/data4-5-4.dat   5   4   6  20           8       2     0
../v3/data/data4-5-5.dat   5   4   6  20          16       2     0
../v3/data/data4-5-6.dat   5   4   6  20          13       2     0
../v3/data/data4-5-7.dat   5   4   6  20          11       2     0
../v3/data/data4-5-8.dat   5   4   6  20          15       2     0
../v3/data/data4-5-9.dat   5   4   6  20          12       2     0
../v3/data/data4-5-10.dat   5  4    6  20          10       2     0
../v3/data/data4-5-11.dat   5  4    6  20           9       2     0
../v3/data/data4-5-12.dat   5  4    6  20          11       2     0
../v3/data/data4-5-13.dat   5  4    6  20           9       2     0
../v3/data/data4-5-14.dat   5  4    6  20          14       2     0
../v3/data/data4-5-15.dat   5  4    6  20          15       2 0.004
../v3/data/data4-5-16.dat   5  4    6  20          13       2     0
../v3/data/data4-5-17.dat   5  4    6  20          17       2     0
../v3/data/data4-5-18.dat   5  4    6  20          12       2     0
../v3/data/data4-5-19.dat   5  4    6  20          14       2     0
../v3/data/data4-5-20.dat   5  4    6  20          14       2     0
../v3/data/data4-5-21.dat   5  4    6  20          15       2     0
../v3/data/data4-5-22.dat   5  4    6  20          15       2     0
../v3/data/data4-5-23.dat   5  4    6  20          15       2 0.012
../v3/data/data4-5-24.dat   5  4    6  20          16       2     0
../v3/data/data4-5-25.dat   5  4    6  20          11       2     0
../v3/data/data4-5-26.dat   5  4    6  20          14       2     0
../v3/data/data4-5-27.dat   5  4    6  20          10       2     0
../v3/data/data4-5-28.dat   5  4    6  20           9       2     0
../v3/data/data4-5-29.dat   5  4    6  20          13       2 0.004
../v3/data/data4-5-30.dat   5  4    6  20          17       2  0.04
../v3/data/data4-5-31.dat   5  4    6  20          13       2 0.012
../v3/data/data4-5-32.dat   5  4    6  20          10       2     0
../v3/data/data4-5-33.dat   5  4    6  20          13       2     0
../v3/data/data4-5-34.dat   5  4    6  20          16       2     0
../v3/data/data4-5-35.dat   5  4    6  20          15       2     0
../v3/data/data4-5-36.dat   5  4    6  20          11       2     0
../v3/data/data4-5-37.dat   5  4    6  20          14       2 0.004
../v3/data/data4-5-38.dat   5  4    6  20          14       2     0
../v3/data/data4-5-39.dat   5  4    6  20          14       2 0.012
../v3/data/data4-5-40.dat   5  4    6  20          11       2     0
../v3/data/data4-6-1.dat   6   4   6  24          17       3  0.08
../v3/data/data4-6-2.dat   6   4   6  24           8       3     0
../v3/data/data4-6-3.dat   6   4   6  24          13       3     0
../v3/data/data4-6-4.dat   6   4   6  24          14       3     0
../v3/data/data4-6-5.dat   6   4   6  24          15       3     0
../v3/data/data4-6-6.dat   6   4   6  24          16       3 0.188
../v3/data/data4-6-7.dat   6   4   6  24          14       3     0
../v3/data/data4-6-8.dat   6   4   6  24          12       3     0
../v3/data/data4-6-9.dat   6   4   6  24          13       3     0
../v3/data/data4-6-10.dat   6  4    6  24          17       3 0.004
../v3/data/data4-6-11.dat   6  4    6  24          14       3     0
../v3/data/data4-6-12.dat   6  4    6  24          13       3     0
../v3/data/data4-6-13.dat   6  4    6  24          14       3     0
../v3/data/data4-6-14.dat   6  4    6  24          11       3     0
../v3/data/data4-6-15.dat   6  4    6  24          16       3     0
../v3/data/data4-6-16.dat   6  4    6  24          10       3     0
../v3/data/data4-6-17.dat   6  4    6  24          16       3     0
../v3/data/data4-6-18.dat   6  4    6  24          16       3     0
../v3/data/data4-6-19.dat   6  4    6  24          14       3     0
../v3/data/data4-6-20.dat   6  4    6  24          11       3     0
../v3/data/data4-6-21.dat   6  4    6  24          14       3     0
../v3/data/data4-6-22.dat   6  4    6  24          10       3     0
../v3/data/data4-6-23.dat   6  4    6  24           9       3     0
../v3/data/data4-6-24.dat   6  4    6  24          17       3     0
../v3/data/data4-6-25.dat   6  4    6  24          18       3     0
../v3/data/data4-6-26.dat   6  4    6  24          13       3     0
../v3/data/data4-6-27.dat   6  4    6  24          14       3     0
../v3/data/data4-6-28.dat   6  4    6  24          18       3   0.1
../v3/data/data4-6-29.dat   6  4    6  24          14       3     0
../v3/data/data4-6-30.dat   6  4    6  24          15       3     0
../v3/data/data4-6-31.dat   6  4    6  24           8       3     0
../v3/data/data4-6-32.dat   6  4    6  24          15       3     0
../v3/data/data4-6-33.dat   6  4    6  24          15       3     0
